,Issue Date,Maturity date,Coupon Frequency,BMA,C&M,CMKA,IONE,JSCM,MCPL,SCPL,VCPL,,FMA
PIB-FRB-1,31-May-18,31-May-28,Half-Yearly,100,100.1,100,100,99.5,100.1,100,100,,100.02
PIB-FRB-2,28-Jun-18,28-Jun-28,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-3,9-Aug-18,9-Aug-28,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-4,21-Feb-19,21-Feb-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-5,21-Mar-19,21-Mar-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-6,18-Apr-19,18-Apr-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-7,30-May-19,30-May-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-8,27-Jun-19,27-Jun-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-9,25-Jul-19,25-Jul-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-10,22-Aug-19,22-Aug-29,Half-Yearly,100,100,100,100,99.5,100,100,100,,100
PIB-FRB-11,18-Jun-20,18-Jun-23,Half-Yearly,100.16,100.15,100.21,100.25,100.1,100.16,100.3,100.2,,100.19
PIB-FRB-12,18-Jun-20,18-Jun-25,Half-Yearly,100.01,99.93,100.05,100.05,99.5,99.93,100.12,99.93,,99.98
PIB-FRB-13,18-Jun-20,18-Jun-30,Half-Yearly,99.9,100,99.9,99.9,99.5,100,99.84,99.9,,99.91
PIB-FRB-14,22-Oct-20,22-Oct-23,Quarterly,99.2,99.27,99.2,99.2,99.1,99.2,99.2,99.2,,99.2
PIB-FRB-15,22-Oct-20,22-Oct-25,Quarterly,98.25,98.38,98.25,98.25,98.2,98.27,98.25,98.25,,98.25
PIB-FRB-16,22-Oct-20,22-Oct-30,Quarterly,96.56,96.68,96.57,96.55,96.3,96.65,96.6,96.55,,96.58
PIB-FRB-17,5-Nov-20,5-Nov-22,Quarterly,99.85,99.85,99.85,99.85,99.85,99.87,99.85,99.85,,99.85
PIB-FRB-18,31-Dec-20,31-Dec-23,Half-Yearly,98.95,98.99,98.95,98.95,99.5,98.95,98.95,98.95,,98.96
PIB-FRB-19,6-May-21,6-May-26,Half-Yearly,98.3,98.39,98.31,98.3,99.5,98.3,98.2,98.3,,98.32
PIB-FRB-20,26-Aug-21,26-Aug-23,Quarterly,99.3,99.33,99.33,99.3,99.05,99.34,99.3,99.3,,99.31
PIB-FRB-21,7-Oct-21,7-Oct-24,Quarterly,98.2,98.21,98.2,98.2,98.25,98.18,98.2,98.2,,98.2
PIB-FRB-22,30-Dec-21,30-Dec-23,Quarterly,99.12,99.13,99.12,99.1,99.05,99.12,99.12,99.12,,99.12
PIB-FRB-23,7-Apr-22,7-Apr-25,Quarterly,97.53,97.46,97.53,97.52,97.6,97.5,97.53,97.52,,97.52
