FMA Code,SBP Code,Price,Change,,,,
GOPIS-22-24-06-2025,GIS (VRR) -20,100.03,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-23-29-07-2025,GIS (VRR) -21,100.08,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-24-29-07-2025,GIS (FRR) -04,99.61,0.00,,,1 - Month,9.76%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.37,0.00,,,3 - Month,10.72%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.49,0.00,,,6 - Month,11.94%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.64,0.00,,,9 - Month,11.21%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.22,0.01,,,1 - Year,11.31%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.21,0.00,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,101.42,0.00,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.55,0.00,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,102.22,0.01,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.50,-0.01,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.04,0.00,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.25,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.65,0.00,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.97,0.00,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.19,0.00,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.15,0.00,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.85,0.00,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.62,-0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.41,0.00,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.68,0.00,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.30,0.06,,,,
