FMA Code,SBP Code,Price,Change,,,,
GOPIS-25-09-12-2025,GIS (VRR) -22,100.27,0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-26-20-01-2026,GIS (FRR) -07,99.36,-0.03,,,Tenor,PKISRV Rates (Yields)
GOPIS-27-06-10-2026,GIS (FRR) -08,98.22,-0.06,,,1 - Month,10.07%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.11,0.01,,,3 - Month,10.03%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.09,0.03,,,6 - Month,9.98%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.44,0.03,,,9 - Month,10.18%
GOPIS-31-27-04-2027,GIS (VRR) -25,101.63,0.02,,,1 - Year,10.32%
GOPIS-32-27-04-2027,GIS (FRR) -12,102.81,-0.03,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.76,0.03,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.31,-0.08,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.22,0.01,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.33,0.17,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.17,0.03,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.12,0.03,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.20,0.02,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,114.20,-0.04,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.59,0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.38,0.08,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.60,0.10,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.40,0.02,,,,
