FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.67,-0.15
GOPIS-21-29-05-2025,GIS (VRR) -19,100.95,-0.02
GOPIS-22-24-06-2025,GIS (VRR) -20,101.02,-0.06
GOPIS-23-29-07-2025,GIS (VRR) -21,102.47,0.00
GOPIS-24-29-07-2025,GIS (FRR) -04,97.86,0.02
GOPIS-25-09-12-2025,GIS (VRR) -22,101.02,0.00
GOPIS-26-20-01-2026,GIS (FRR) -07,95.54,0.16
GOPIS-27-06-10-2026,GIS (FRR) -08,95.32,0.26
GOPIS-28-06-10-2026,GIS (VRR) -23,101.91,-0.12
GOPIS-29-29-10-2026,GIS (VRR) -24,102.33,-0.08
GOPIS-30-15-12-2026,GIS (FRR) -11,100.56,-0.17
GOPIS-31-27-04-2027,GIS (VRR) -25,102.98,-0.04
GOPIS-32-27-04-2027,GIS (FRR) -12,100.08,-0.64
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.83,-0.07
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.49,-0.05
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.81,-0.17
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.49,0.00
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.24,0.00
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.42,-0.24
GOPIS-55-26-06-2028,GIS (VRR) - 34,105.75,-0.17
GOPIS-61-20-09-2028,GIS (FRR) - 31,109.98,-0.03
GOPIS-65-04-12-2026,GIS (VRR) - 41,102.31,0.10
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.11,0.17
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.72,0.05
GOPIS-68-04-12-2028,GIS (FRR) - 34,108.88,-0.34
