FMA Code,SBP Code,Price,Change,,,,
GOPIS-25-09-12-2025,GIS (VRR) -22,100.16,-0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-26-20-01-2026,GIS (FRR) -07,99.49,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-27-06-10-2026,GIS (FRR) -08,99.04,0.00,,,1 - Month,10.09%
GOPIS-28-06-10-2026,GIS (VRR) -23,100.56,0.00,,,3 - Month,9.59%
GOPIS-29-29-10-2026,GIS (VRR) -24,100.54,-0.01,,,6 - Month,9.78%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.28,-0.01,,,9 - Month,10.01%
GOPIS-31-27-04-2027,GIS (VRR) -25,100.85,-0.03,,,1 - Year,11.18%
GOPIS-32-27-04-2027,GIS (FRR) -12,103.18,0.00,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,100.90,-0.01,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.83,0.00,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.21,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,104.82,0.00,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,105.96,0.00,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.10,0.00,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.13,0.00,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,114.09,0.00,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.52,-0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.24,0.00,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.88,0.00,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.19,0.00,,,,
