FMA Code,SBP Code,Price,Change
GOPIS-20-30-04-2025,GIS (VRR) -18,100.37,0.06
GOPIS-21-29-05-2025,GIS (VRR) -19,100.96,-0.01
GOPIS-22-24-06-2025,GIS (VRR) -20,101.06,-0.02
GOPIS-23-29-07-2025,GIS (VRR) -21,102.40,-0.02
GOPIS-24-29-07-2025,GIS (FRR) -04,97.80,-0.02
GOPIS-25-09-12-2025,GIS (VRR) -22,101.00,-0.02
GOPIS-26-20-01-2026,GIS (FRR) -07,95.35,-0.03
GOPIS-27-06-10-2026,GIS (FRR) -08,95.05,-0.02
GOPIS-28-06-10-2026,GIS (VRR) -23,101.89,-0.02
GOPIS-29-29-10-2026,GIS (VRR) -24,102.40,-0.02
GOPIS-30-15-12-2026,GIS (FRR) -11,98.89,-0.03
GOPIS-31-27-04-2027,GIS (VRR) -25,102.80,-0.03
GOPIS-32-27-04-2027,GIS (FRR) -12,99.97,0.08
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.82,-0.02
GOPIS-34-16-11-2027,GIS (FRR) - 14,99.64,0.10
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.98,0.00
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.42,-0.01
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.75,-0.02
GOPIS-54-12-07-2026,GIS (VRR) - 36,102.65,-0.03
GOPIS-55-26-06-2028,GIS (VRR) - 34,105.95,-0.01
GOPIS-61-20-09-2028,GIS (FRR) - 31,109.65,-0.43
GOPIS-64-04-12-2024,GIS (VRR) - 40,100.18,0.01
GOPIS-65-04-12-2026,GIS (VRR) - 41,102.30,-0.03
GOPIS-66-04-12-2028,GIS (VRR) - 42,104.01,-0.04
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.66,-0.02
GOPIS-68-04-12-2028,GIS (FRR) - 34,108.95,-0.06
