FMA Code,SBP Code,Price,Change,,,,
GOPIS-23-29-07-2025,GIS (VRR) -21,100.03,0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-24-29-07-2025,GIS (FRR) -04,99.69,0.03,,,Tenor,PKISRV Rates (Yields)
GOPIS-25-09-12-2025,GIS (VRR) -22,100.31,-0.03,,,1 - Month,10.33%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.67,0.18,,,3 - Month,11.05%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.96,0.27,,,6 - Month,12.12%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.09,-0.02,,,9 - Month,11.19%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.03,-0.01,,,1 - Year,11.28%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.36,0.12,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.47,0.06,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,102.51,0.12,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.61,0.05,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.38,0.15,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.25,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.67,-0.07,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.59,-0.02,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.20,-0.05,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.13,0.07,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,112.43,0.52,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.62,0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.45,0.06,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.58,-0.07,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.51,0.08,,,,
