FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.23,-0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.29,-0.01,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.37,0.04,,,1 - Month,10.30%
GOPIS-23-29-07-2025,GIS (VRR) -21,100.02,0.00,,,3 - Month,10.40%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.95,0.01,,,6 - Month,11.27%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.58,0.06,,,9 - Month,11.72%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.34,0.05,,,1 - Year,11.10%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.21,0.06,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.87,0.06,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.84,0.04,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.98,0.00,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.47,0.34,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.71,-0.01,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.40,-0.01,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.18,0.06,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.46,0.08,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.68,0.05,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.89,0.16,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.50,0.10,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,103.83,0.21,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.67,0.18,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.80,0.12,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,102.05,0.08,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.94,0.08,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.90,0.13,,,,
