FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.13,0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.19,0.01,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.32,0.04,,,1 - Month,10.35%
GOPIS-23-29-07-2025,GIS (VRR) -21,99.96,0.03,,,3 - Month,10.36%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.94,-0.04,,,6 - Month,11.61%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.35,0.02,,,9 - Month,11.24%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.28,-0.17,,,1 - Year,11.31%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.26,-0.10,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.43,0.24,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.39,0.10,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.41,-0.34,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,100.39,0.02,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.33,-0.10,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,100.49,0.03,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,100.75,-0.43,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.30,0.04,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.07,-0.20,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.13,-0.20,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.21,0.10,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,102.85,0.03,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.64,-0.42,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.19,0.00,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.49,-0.07,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.31,0.01,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.01,-0.09,,,,
