FMA Code,SBP Code,Price,Change,,,,
GOPIS-22-24-06-2025,GIS (VRR) -20,100.09,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-23-29-07-2025,GIS (VRR) -21,100.10,0.01,,,Tenor,PKISRV Rates (Yields)
GOPIS-24-29-07-2025,GIS (FRR) -04,99.58,-0.01,,,1 - Month,9.40%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.37,0.00,,,3 - Month,10.62%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.43,-0.06,,,6 - Month,11.90%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.43,-0.21,,,9 - Month,11.19%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.25,0.01,,,1 - Year,11.28%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.25,0.05,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,101.43,-0.02,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.58,0.04,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,102.04,-0.19,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.53,0.07,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.86,-0.18,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.25,0.01,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.70,0.06,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.03,0.02,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.24,0.05,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.19,-0.06,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.82,-0.04,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.61,-0.02,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.41,-0.04,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.64,-0.05,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.06,-0.14,,,,
