FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.15,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.20,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.34,0.04,,,1 - Month,10.75%
GOPIS-23-29-07-2025,GIS (VRR) -21,99.97,0.00,,,3 - Month,10.19%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.96,0.00,,,6 - Month,11.42%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.51,0.00,,,9 - Month,11.56%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.46,0.16,,,1 - Year,11.22%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.14,0.02,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.51,0.00,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.64,0.01,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.96,0.00,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.08,0.10,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.50,-0.13,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.24,0.09,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.34,0.22,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.39,0.01,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.65,0.02,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.71,0.01,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.29,0.00,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,103.21,0.03,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.76,0.12,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.49,-0.04,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.87,-0.04,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.80,-0.03,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.77,-0.15,,,,
