GOPIS-FRR,26-Jun-26, -   , 103.00 , -   , 103.00 , 103.00 , 103.00 , 103.00 , 103.00 , 103.00 
GOPIS-VRR,12-Jul-26, -   , 100.25 , -   , 100.00 , 100.00 , 100.00 , 100.00 , 100.00 , 100.04 
GOPIS-VRR,6-Oct-26, -   , 101.00 , -   , 101.00 , 101.00 , 101.00 , 101.00 , 101.00 , 101.00 
GOPIS-FRR,6-Oct-26, -   , 84.00 , -   , 84.00 , 84.00 , 84.00 , 84.00 , 84.50 , 84.08 
GOPIS-VRR,29-Oct-26, -   , 101.20 , -   , 101.30 , 101.25 , 101.25 , 101.25 , 101.25 , 101.25 
GOPIS-VRR,4-Dec-26, -   , 99.45 , -   , 99.60 , 99.50 , 99.30 , 99.60 , 99.90 , 99.56 
GOPIS-FRR,4-Dec-26, -   , 100.00 , -   , 100.20 , 100.10 , 100.10 , 100.20 , 100.20 , 100.13 
GOPIS-FRR,15-Dec-26, -   , 88.00 , -   , 87.00 , 87.00 , 87.00 , 87.00 , 87.00 , 87.17 
GOPIS-VRR,27-Apr-27, -   , 101.50 , -   , 101.50 , 101.50 , 101.25 , 101.50 , 101.50 , 101.46 
GOPIS-FRR,27-Apr-27, -   , 77.00 , -   , 89.00 , 88.00 , 89.00 , 88.50 , 89.00 , 86.75 
GOPIS-VRR,26-Oct-27, -   , 101.00 , -   , 101.20 , 101.00 , 101.25 , 101.20 , 101.20 , 101.14 
GOPIS-FRR,16-Nov-27, -   , 88.00 , -   , 89.00 , 89.00 , 89.00 , 89.00 , 89.00 , 88.83 
GOPIS-VRR,26-Jun-28, -   , 102.50 , -   , 102.90 , 102.75 , 102.75 , 103.00 , 103.25 , 102.86 
GOPIS-FRR,20-Sep-28, -   , 101.75 , -   , 101.75 , 101.50 , 101.50 , 101.70 , 101.80 , 101.67 
GOPIS-VRR,4-Dec-28, -   , 99.90 , -   , 100.10 , 100.00 , 100.00 , 100.10 , 100.10 , 100.03 
GOPIS-FRR,4-Dec-28, -   , 100.40 , -   , 100.50 , 100.50 , 100.50 , 100.50 , 100.50 , 100.48 
