FMA Code,SBP Code,Price,Change,,,,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.07,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-22-24-06-2025,GIS (VRR) -20,100.10,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-23-29-07-2025,GIS (VRR) -21,100.07,0.06,,,1 - Month,10.85%
GOPIS-24-29-07-2025,GIS (FRR) -04,99.31,0.06,,,3 - Month,10.64%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.43,-0.03,,,6 - Month,11.54%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.36,-0.14,,,9 - Month,11.26%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.30,-0.05,,,1 - Year,11.37%
GOPIS-28-06-10-2026,GIS (VRR) -23,100.44,0.09,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.34,0.02,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.14,0.00,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,100.90,0.23,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.23,-0.09,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.07,0.05,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.35,-0.01,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.22,0.03,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.77,0.00,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.49,-0.33,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.18,-0.09,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,102.86,-0.17,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.91,-0.14,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.69,-0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.62,-0.14,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.31,-0.03,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.15,-0.21,,,,
