FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.12,-0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.19,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.28,-0.04,,,1 - Month,10.42%
GOPIS-23-29-07-2025,GIS (VRR) -21,99.95,-0.01,,,3 - Month,10.51%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.97,0.03,,,6 - Month,11.61%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.37,0.02,,,9 - Month,11.20%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.25,-0.03,,,1 - Year,11.33%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.23,-0.03,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.18,-0.25,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.28,-0.11,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.26,-0.15,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,100.35,-0.04,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.26,-0.07,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,100.46,-0.03,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,100.88,0.13,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.30,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.97,-0.10,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.05,-0.08,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.18,-0.03,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,102.86,0.01,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.66,0.02,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.18,-0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.42,-0.07,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.27,-0.04,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.86,-0.15,,,,
,,,,,,,
,,,,,,,
