FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.18,0.04,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.21,0.02,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.46,0.16,,,1 - Month,10.01%
GOPIS-23-29-07-2025,GIS (VRR) -21,100.00,0.03,,,3 - Month,9.28%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.96,0.00,,,6 - Month,11.34%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.59,0.10,,,9 - Month,11.13%
GOPIS-26-20-01-2026,GIS (FRR) -07,97.62,-0.70,,,1 - Year,11.05%
GOPIS-27-06-10-2026,GIS (FRR) -08,96.60,-0.44,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,100.83,0.33,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.90,0.30,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.93,-0.03,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.59,0.66,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.25,-0.34,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.62,0.53,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,100.54,-0.63,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.48,0.10,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.38,-0.25,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.95,0.26,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.54,0.25,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,103.79,0.71,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.10,-0.45,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.47,0.09,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.89,0.11,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.59,0.10,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,110.67,-0.21,,,,
