FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.28,,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.38,,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.45,,,,1 - Month,10.50%
GOPIS-23-29-07-2025,GIS (VRR) -21,100.05,,,,3 - Month,10.59%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.94,,,,6 - Month,11.15%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.67,,,,9 - Month,11.66%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.16,,,,1 - Year,10.96%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.08,,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,101.77,,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,101.38,,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.98,,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,102.33,,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.66,,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.25,,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.26,,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.56,,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.67,,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,108.78,,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.74,,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.56,,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.85,,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.38,,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.24,,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.06,,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.29,,,,,
