FMA Code,SBP Code,Price,Change,,,,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.07,-0.03,,,As Per the SECP Direction 24 of 2024,
GOPIS-22-24-06-2025,GIS (VRR) -20,100.1,-0.01,,,Tenor,PKISRV Rates (Yields)
GOPIS-23-29-07-2025,GIS (VRR) -21,100.01,0.07,,,1 - Month,10.90%
GOPIS-24-29-07-2025,GIS (FRR) -04,99.25,0.05,,,3 - Month,10.88%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.46,0.07,,,6 - Month,11.56%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.5,0.15,,,9 - Month,11.29%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.35,0.09,,,1 - Year,11.33%
GOPIS-28-06-10-2026,GIS (VRR) -23,100.35,0.04,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,100.32,0.06,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,100.14,-0.06,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,100.67,0.17,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.32,0.06,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.02,0.37,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.36,0.66,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.19,-0.01,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.77,0.2,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.82,0.05,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.27,0.14,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,103.03,0.24,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,112.05,0.25,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.7,0.16,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,100.76,0.27,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.34,0.07,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.36,0.3,,,,
