FMA Code,SBP Code,Price,Change,,,,
GOPIS-23-29-07-2025,GIS (VRR) -21,100.01,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-24-29-07-2025,GIS (FRR) -04,99.86,0.01,,,Tenor,PKISRV Rates (Yields)
GOPIS-25-09-12-2025,GIS (VRR) -22,100.30,0.00,,,1 - Month,10.02%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.98,0.00,,,3 - Month,10.01%
GOPIS-27-06-10-2026,GIS (FRR) -08,98.07,0.00,,,6 - Month,10.00%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.15,0.00,,,9 - Month,10.14%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.17,0.00,,,1 - Year,10.25%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.49,0.01,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.68,0.00,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,102.78,0.04,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.82,0.00,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.33,0.00,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.24,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.67,0.00,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.52,0.00,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.20,0.00,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.18,0.00,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,113.68,0.05,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.61,0.00,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.54,0.00,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.49,-0.01,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.51,-0.01,,,,
