FMA Code,SBP Code,Price,Change,,,,
GOPIS-25-09-12-2025,GIS (VRR) -22,100.21,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-26-20-01-2026,GIS (FRR) -07,99.50,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-27-06-10-2026,GIS (FRR) -08,99.00,0.00,,,1 - Month,9.92%
GOPIS-28-06-10-2026,GIS (VRR) -23,100.67,0.00,,,3 - Month,9.73%
GOPIS-29-29-10-2026,GIS (VRR) -24,100.78,-0.01,,,6 - Month,9.84%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.40,0.00,,,9 - Month,10.05%
GOPIS-31-27-04-2027,GIS (VRR) -25,101.18,0.00,,,1 - Year,10.90%
GOPIS-32-27-04-2027,GIS (FRR) -12,103.21,0.00,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.39,0.00,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.88,0.00,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.22,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,104.84,0.00,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,106.16,-0.02,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.10,0.00,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.18,0.00,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,114.14,0.00,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.62,0.00,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.36,0.00,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,106.93,0.00,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.24,0.01,,,,
