FMA Code,SBP Code,Price,Change,,,,
GOPIS-20-30-04-2025,GIS (VRR) -18,100.45,-0.03,,,As Per the SECP Direction 24 of 2024,
GOPIS-21-29-05-2025,GIS (VRR) -19,100.59,0.00,,,Tenor,PKISRV Rates (Yields)
GOPIS-22-24-06-2025,GIS (VRR) -20,100.53,-0.06,,,1 - Month,10.07%
GOPIS-23-29-07-2025,GIS (VRR) -21,100.19,-0.58,,,3 - Month,10.21%
GOPIS-24-29-07-2025,GIS (FRR) -04,98.65,0.07,,,6 - Month,10.84%
GOPIS-25-09-12-2025,GIS (VRR) -22,100.71,-0.05,,,9 - Month,11.53%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.15,0.61,,,1 - Year,10.96%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.07,0.40,,,,
GOPIS-28-06-10-2026,GIS (VRR) -23,101.95,-0.17,,,,
GOPIS-29-29-10-2026,GIS (VRR) -24,101.71,-0.02,,,,
GOPIS-30-15-12-2026,GIS (FRR) -11,101.16,0.09,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,102.88,-0.05,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,101.88,0.20,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,102.60,-0.11,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,101.27,0.17,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.55,-0.09,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,107.72,-0.04,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,109.75,-0.05,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.88,0.23,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.60,-0.23,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.87,0.33,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,101.84,0.07,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,103.87,0.01,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.12,-0.07,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,111.55,0.41,,,,
