FMA Code,SBP Code,Price,Change,,,,
GOPIS-23-29-07-2025,GIS (VRR) -21,100.02,-0.01,,,As Per the SECP Direction 24 of 2024,
GOPIS-24-29-07-2025,GIS (FRR) -04,99.73,-0.03,,,Tenor,PKISRV Rates (Yields)
GOPIS-25-09-12-2025,GIS (VRR) -22,100.35,0.01,,,1 - Month,10.41%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.49,-0.19,,,3 - Month,11.05%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.69,-0.27,,,6 - Month,12.01%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.16,0.03,,,9 - Month,11.15%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.16,0.04,,,1 - Year,11.23%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.41,0.02,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.69,0.08,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,102.63,0.03,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.85,0.13,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.23,-0.13,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.25,0.01,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.73,0.07,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.61,0.02,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.24,0.05,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.11,-0.06,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.91,-0.51,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.60,-0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.45,-0.05,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.64,0.09,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.49,-0.05,,,,
