FMA Code,SBP Code,Price,Change,,,,
GOPIS-25-09-12-2025,GIS (VRR) -22,100.30,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-26-20-01-2026,GIS (FRR) -07,99.20,0.16,,,Tenor,PKISRV Rates (Yields)
GOPIS-27-06-10-2026,GIS (FRR) -08,97.98,-0.23,,,1 - Month,9.97%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.16,0.01,,,3 - Month,9.97%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.14,-0.01,,,6 - Month,9.99%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.48,0.04,,,9 - Month,10.13%
GOPIS-31-27-04-2027,GIS (VRR) -25,101.64,-0.02,,,1 - Year,10.25%
GOPIS-32-27-04-2027,GIS (FRR) -12,102.79,-0.06,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.84,0.04,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.31,-0.10,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.24,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.54,0.23,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.38,0.00,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.19,0.03,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.18,-0.05,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,114.03,-0.07,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.60,-0.03,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.41,-0.08,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.66,0.03,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.43,-0.04,,,,
