FMA Code,SBP Code,Price,Change,,,,
GOPIS-23-29-07-2025,GIS (VRR) -21,100.02,0.00,,,As Per the SECP Direction 24 of 2024,
GOPIS-24-29-07-2025,GIS (FRR) -04,99.66,-0.02,,,Tenor,PKISRV Rates (Yields)
GOPIS-25-09-12-2025,GIS (VRR) -22,100.34,0.03,,,1 - Month,10.47%
GOPIS-26-20-01-2026,GIS (FRR) -07,98.49,-0.18,,,3 - Month,11.08%
GOPIS-27-06-10-2026,GIS (FRR) -08,97.69,-0.27,,,6 - Month,12.02%
GOPIS-28-06-10-2026,GIS (VRR) -23,101.11,0.03,,,9 - Month,11.17%
GOPIS-29-29-10-2026,GIS (VRR) -24,101.04,0.04,,,1 - Year,11.24%
GOPIS-30-15-12-2026,GIS (FRR) -11,101.24,0.01,,,,
GOPIS-31-27-04-2027,GIS (VRR) -25,101.41,0.01,,,,
GOPIS-32-27-04-2027,GIS (FRR) -12,102.39,-0.12,,,,
GOPIS-33-26-10-2027,GIS (VRR) - 26,101.56,0.06,,,,
GOPIS-34-16-11-2027,GIS (FRR) - 14,102.23,-0.14,,,,
GOPIS-35-05-01-2026,GIS (VRR) - 27,100.25,0.00,,,,
GOPIS-43-17-04-2026,GIS (FRR) - 21,106.74,0.07,,,,
GOPIS-48-26-06-2026,GIS (FRR) - 24,107.61,-0.10,,,,
GOPIS-54-12-07-2026,GIS (VRR) - 36,101.25,0.05,,,,
GOPIS-55-26-06-2028,GIS (VRR) - 34,104.06,-0.10,,,,
GOPIS-61-20-09-2028,GIS (FRR) - 31,111.91,-0.47,,,,
GOPIS-65-04-12-2026,GIS (VRR) - 41,100.61,-0.01,,,,
GOPIS-66-04-12-2028,GIS (VRR) - 42,101.39,0.01,,,,
GOPIS-67-04-12-2026,GIS (FRR) - 33,107.65,0.06,,,,
GOPIS-68-04-12-2028,GIS (FRR) - 34,113.43,0.10,,,,
